phylum,class,order,family,genus
 Chloroflexi,Anaerolineae,CFB-26,,
 Chloroflexi,Anaerolineae,DRC31,,
 Chloroflexi,Anaerolineae,envOPS12,,
 Chloroflexi,Anaerolineae,GCA004,,
 Chloroflexi,Anaerolineae,H39,,
 Chloroflexi,Anaerolineae,MSB-1E9,,
 Chloroflexi,Anaerolineae,O4D2Z37,,
 Chloroflexi,Anaerolineae,OPB11,,
 Chloroflexi,Anaerolineae,pLW-97,,
 Chloroflexi,Anaerolineae,S0208,,
 Chloroflexi,Anaerolineae,SB-34,,
 Chloroflexi,Anaerolineae,SBR1031,A4b,
 Chloroflexi,Anaerolineae,SBR1031,oc28,
 Chloroflexi,Anaerolineae,SBR1031,SHA-31,
 Chloroflexi,Anaerolineae,SBR1031,SJA-101,
 Chloroflexi,Anaerolineae,SBR1031,,
 Chloroflexi,Anaerolineae,SHA-20,,
 Chloroflexi,Anaerolineae,SJA-15,,
 Chloroflexi,Anaerolineae,WCHB1-50,,
 Chloroflexi,Anaerolineae,,,
 Chloroflexi,C0119,,,
 Chloroflexi,Chloroflexi,AKIW781,,
 Chloroflexi,Chloroflexi,Chloroflexales,01D2Z48,
 Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus
 Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloronema
 Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,
 Chloroflexi,Chloroflexi,Chloroflexales,Chlorothrixaceae,Candidatus Chlorothrix
 Chloroflexi,Chloroflexi,Chloroflexales,Chlorothrixaceae,
 Chloroflexi,Chloroflexi,Chloroflexales,FFCH7168,
 Chloroflexi,Chloroflexi,Chloroflexales,Oscillochloridaceae,Oscillochloris
 Chloroflexi,Chloroflexi,Chloroflexales,Oscillochloridaceae,Oscillochloris
 Chloroflexi,Chloroflexi,Chloroflexales,SBYO_3720,
 Chloroflexi,Chloroflexi,Chloroflexales,YCB18,
 Chloroflexi,Chloroflexi,Chloroflexales,,
 Chloroflexi,Chloroflexi,Herpetosiphonales,,
 Chloroflexi,Chloroflexi,Roseiflexales,Kouleothrixaceae,Kouleothrix
 Chloroflexi,Chloroflexi,Roseiflexales,Kouleothrixaceae,
 Chloroflexi,Chloroflexi,Roseiflexales,Roseiflexaceae,Roseiflexus
 Chloroflexi,Chloroflexi,Roseiflexales,Roseiflexaceae,
 Chloroflexi,Chloroflexi,Roseiflexales,,
 Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
 Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas
 Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,
 Chloroflexi,Dehalococcoidetes,Dehalococcoidales,,
 Chloroflexi,Dehalococcoidetes,FS117-23B-02,,
 Chloroflexi,Dehalococcoidetes,GIF9,,
 Chloroflexi,Dehalococcoidetes,,,
 Chloroflexi,Ellin6529,,,
 Chloroflexi,Gitt-GS-136,,,
 Chloroflexi,Ktedonobacteria,B10-SB3A,,
 Chloroflexi,Ktedonobacteria,B12-WMSP1,,
 Chloroflexi,Ktedonobacteria,Elev-1554,,
 Chloroflexi,Ktedonobacteria,JG30-KF-AS9,,
 Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,FFCH10602
 Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,
 Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora
 Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,
 Chloroflexi,Ktedonobacteria,Thermogemmatisporales,,
 Chloroflexi,Ktedonobacteria,TK10,,
 Chloroflexi,Ktedonobacteria,,,
 Chloroflexi,MVP-21,,,
 Chloroflexi,P2-11E,,,
 Chloroflexi,S085,,,
 Chloroflexi,SAR202,,,
 Chloroflexi,SHA-26,,,
 Chloroflexi,SL56,,,
 Chloroflexi,Thermobacula,Thermobaculales,Thermobaculaceae,Thermobaculum
 Chloroflexi,Thermobacula,Thermobaculales,Thermobaculaceae,
 Chloroflexi,Thermomicrobia,AKYG1722,,
 Chloroflexi,Thermomicrobia,Ellin6537,,
 Chloroflexi,Thermomicrobia,JG30-KF-CM45,,
 Chloroflexi,Thermomicrobia,Sphaerobacterales,,
 Chloroflexi,Thermomicrobia,Thermomicrobiales,,
 Chloroflexi,Thermomicrobia,,,
 Chloroflexi,TK10,AKYG885,5B-12,
 Chloroflexi,TK10,AKYG885,Dolo_23,
 Chloroflexi,TK10,AKYG885,,
 Chloroflexi,TK10,B07_WMSP1,FFCH4570,
 Chloroflexi,TK10,B07_WMSP1,,
 Chloroflexi,TK10,,,
 Chloroflexi,TK17,mle1-48,,
 Chloroflexi,TK17,TK18,,
 Chloroflexi,TK17,,,
 Chloroflexi,,,,
 Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum
 Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,
 Crenarchaeota,AAG,,,
 Crenarchaeota,Aigarchaeota,Caldiarchales,Caldiarchaceae,Candidatus Caldiarchaeum
 Crenarchaeota,Aigarchaeota,Caldiarchales,Caldiarchaceae,
 Crenarchaeota,Aigarchaeota,Caldiarchales,,
 Crenarchaeota,Aigarchaeota,,,
 Crenarchaeota,Korarchaeota,Korarchaeotales,Korarchaeotaceae,Candidatus Korarchaeum
 Crenarchaeota,Korarchaeota,Korarchaeotales,Korarchaeotaceae,
 Crenarchaeota,Korarchaeota,Korarchaeotales,,
 Crenarchaeota,Korarchaeota,pJP78,,
 Crenarchaeota,MBGA,NRP-J,,
 Crenarchaeota,MBGA,,,
 Crenarchaeota,MBGB,,,
 Crenarchaeota,MCG,B10,,
 Crenarchaeota,MCG,pGrfC26,,
 Crenarchaeota,MCG,,,
 Crenarchaeota,MHVG,,,
 Crenarchaeota,pISA9,,,
 Crenarchaeota,pOWA133,,,
 Crenarchaeota,pUWA2,,,
 Crenarchaeota,Thaumarchaeota,AK31,,
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Cenarchaeum
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Cenarchaeum
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Nitrosopumilus
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Nitrosopumilus
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,
 Crenarchaeota,Thaumarchaeota,Cenarchaeales,,
 Crenarchaeota,Thaumarchaeota,D-F10,,
 Crenarchaeota,Thaumarchaeota,Nitrosocaldales,Nitrosocaldaceae,Candidatus Nitrosocaldus
 Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
 Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
 Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
 Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
 Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,
 Crenarchaeota,Thaumarchaeota,,,
 Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum
 Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Caldisphaera
 Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus
 Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,
 Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,
 Crenarchaeota,Thermoprotei,Desulfurococcales,,
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
 Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,
 Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,
 Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
 Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium
 Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
 Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,
 Crenarchaeota,Thermoprotei,YNPFFA,A13,
 Crenarchaeota,Thermoprotei,YNPFFA,SK322,
 Crenarchaeota,Thermoprotei,YNPFFA,,
 Crenarchaeota,Thermoprotei,,,
 Crenarchaeota,THSCG,,,
 Crenarchaeota,,,,
 Cyanobacteria,4C0d-2,MLE1-12,,
 Cyanobacteria,4C0d-2,SM1D11,,
 Cyanobacteria,4C0d-2,SM2F09,,
 Cyanobacteria,4C0d-2,YS2,,
 Cyanobacteria,4C0d-2,,,
 Cyanobacteria,Chloroplast,CAB-I,,
 Cyanobacteria,Chloroplast,Cercozoa,Chlorarachniophyceae,
 Cyanobacteria,Chloroplast,Cercozoa,,
 Cyanobacteria,Chloroplast,Chlorophyta,Chlamydomonadaceae,
 Cyanobacteria,Chloroplast,Chlorophyta,Mamiellaceae,
 Cyanobacteria,Chloroplast,Chlorophyta,Trebouxiophyceae,
 Cyanobacteria,Chloroplast,Chlorophyta,Ulvophyceae,
 Cyanobacteria,Chloroplast,Chlorophyta,,
 Cyanobacteria,Chloroplast,Cryptophyta,,
 Cyanobacteria,Chloroplast,Euglenozoa,,
 Cyanobacteria,Chloroplast,Glaucocystophyceae,,
 Cyanobacteria,Chloroplast,Haptophyceae,,
 Cyanobacteria,Chloroplast,Rhodophyta,,
 Cyanobacteria,Chloroplast,Stramenopiles,,
 Cyanobacteria,Chloroplast,Streptophyta,,
 Cyanobacteria,Chloroplast,UA01,,
 Cyanobacteria,Chloroplast,,,
 Cyanobacteria,Gloeobacterophycideae,Gloeobacterales,Gloeobacteraceae,Gloeobacter
 Cyanobacteria,Gloeobacterophycideae,Gloeobacterales,Gloeobacteraceae,Gloeobacter
 Cyanobacteria,ML635J-21,,,
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Anabaena
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Anabaena
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Anabaenopsis
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Aphanizomenon
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Cylindrospermopsis
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Cylindrospermopsis
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Gloeotrichia
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nodularia
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nodularia
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nostoc
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Trichormus
 Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,
 Cyanobacteria,Nostocophycideae,Nostocales,Scytonemataceae,Scytonema
 Cyanobacteria,Nostocophycideae,Nostocales,Scytonemataceae,
 Cyanobacteria,Nostocophycideae,Nostocales,,
 Cyanobacteria,Nostocophycideae,Stigonematales,Rivulariaceae,Calothrix
 Cyanobacteria,Nostocophycideae,Stigonematales,Rivulariaceae,Rivularia
 Cyanobacteria,Nostocophycideae,Stigonematales,Rivulariaceae,
 Cyanobacteria,Nostocophycideae,,,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Chroococcus
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Crocosphaera
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Cyanobacterium
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Cyanothece
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Gomphosphaeriaceae,Snowella
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Gomphosphaeriaceae,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Prochloraceae,Prochloron
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Prochloraceae,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Spirulinaceae,Spirulina
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Spirulinaceae,Spirulina
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Xenococcaceae,Chroococcidiopsis
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Xenococcaceae,Xenococcus
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,Xenococcaceae,
 Cyanobacteria,Oscillatoriophycideae,Chroococcales,,
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Geitlerinema
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Hydrocoleum
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Microcoleus
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Oscillatoria
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Oscillatoria
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Planktothricoides
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Planktothrix
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Symploca
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Trichodesmium
 Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Arthronema
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Halomicronema
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Prochlorothrix
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Prochlorothrix
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,
 Cyanobacteria,Synechococcophycideae,Pseudanabaenales,,
 Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Acaryochloris
 Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Thermosynechococcus
 Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,
 Cyanobacteria,Synechococcophycideae,Synechococcales,Chamaesiphonaceae,
 Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Paulinella
 Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Prochlorococcus
 Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus
 Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,
 Cyanobacteria,Synechococcophycideae,Synechococcales,,
 Cyanobacteria,,,,
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Geovibrio
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum
 Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,
 Deferribacteres,Deferribacteres,Deferribacterales,V1B07b93,
 Deferribacteres,Deferribacteres,Deferribacterales,,
 Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus
 Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,
 Elusimicrobia,29-Apr,,,
 Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium
 Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,
 Elusimicrobia,Elusimicrobia,Elusimicrobiales,,
 Elusimicrobia,Elusimicrobia,FAC88,,
 Elusimicrobia,Elusimicrobia,IIb,,
 Elusimicrobia,Elusimicrobia,MD2894-B20,,
 Elusimicrobia,Elusimicrobia,MVP-88,,
 Elusimicrobia,Elusimicrobia,,,
 Elusimicrobia,Endomicrobia,,,
 Elusimicrobia,OP2,,,
 Elusimicrobia,,,,
 EM19,,,,
 EM3,,,,
 Euryarchaeota,ANME-1,,,
 Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
 Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
 Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
 Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,
 Euryarchaeota,DSEG,104A5,,
 Euryarchaeota,DSEG,ArcA07,,
 Euryarchaeota,DSEG,DHVE3,,
 Euryarchaeota,DSEG,HydGC-84-221A,,
 Euryarchaeota,DSEG,,,
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,209ZB06
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,ArcF12
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,GA41
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobaculum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halogeometricum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halogranum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halolamina
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halonotius
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halopelagius
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloplanus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorhabdus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halosimplex
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostagnicola
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostagnicola
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,XKL75
 Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,
 Euryarchaeota,Halobacteria,Halobacteriales,MSP41,
 Euryarchaeota,Halobacteria,Halobacteriales,,
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
 Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,
 Euryarchaeota,Methanobacteria,Methanobacteriales,MSBL1,DL1A-100
 Euryarchaeota,Methanobacteria,Methanobacteriales,MSBL1,SAGMEG-1
 Euryarchaeota,Methanobacteria,Methanobacteriales,MSBL1,
 Euryarchaeota,Methanobacteria,Methanobacteriales,pMC1,pMC1A4
 Euryarchaeota,Methanobacteria,Methanobacteriales,pMC1,
 Euryarchaeota,Methanobacteria,Methanobacteriales,WSA2,
 Euryarchaeota,Methanobacteria,Methanobacteriales,,
 Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
 Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,
 Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
 Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus
 Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,
 Euryarchaeota,Methanococci,Methanococcales,,
 Euryarchaeota,Methanomicrobia,F99a103,,
 Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella
 Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,
 Euryarchaeota,Methanomicrobia,Methanocellales,,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,D002025C03,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Candidatus Methanoregula
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,
 Euryarchaeota,Methanomicrobia,Methanomicrobiales,,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,ANME-2a-2b,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,ANME-2c,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,ANME-2D,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,ANME-3
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,HMMVBeg-29
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,
 Euryarchaeota,Methanomicrobia,Methanosarcinales,,
 Euryarchaeota,Methanomicrobia,NRA6,,
 Euryarchaeota,Methanomicrobia,RCII,,
 Euryarchaeota,Methanomicrobia,YC-E6,,
 Euryarchaeota,Methanomicrobia,,,
 Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
 Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus
 Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
 Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,
 Euryarchaeota,Thermoplasmata,E2,20c-4,
 Euryarchaeota,Thermoplasmata,E2,CCA47,
 Euryarchaeota,Thermoplasmata,E2,DHVEG-1,
 Euryarchaeota,Thermoplasmata,E2,Marine group II,
 Euryarchaeota,Thermoplasmata,E2,Marine group III,
 Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,Methanomassiliicoccus
 Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,vadinCA11
 Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,
 Euryarchaeota,Thermoplasmata,E2,TMEG,
 Euryarchaeota,Thermoplasmata,E2,,
 Euryarchaeota,Thermoplasmata,Thermoplasmatales,A10,
 Euryarchaeota,Thermoplasmata,Thermoplasmatales,Aciduliprofundaceae,
